2015-02-18 12:51:41 status half-installed libpam-modules:armhf 1.1.8-3ubuntu4
2015-02-18 12:51:49 status unpacked libpam-modules:armhf 1.1.8-3ubuntu4
2015-02-18 12:51:49 status unpacked libpam-modules:armhf 1.1.8-3ubuntu4
2015-02-18 12:51:50 install libpam-modules-bin:armhf <none> 1.1.8-3ubuntu4
2015-02-18 12:51:50 status half-installed libpam-modules-bin:armhf 1.1.8-3ubuntu4
2015-02-18 12:51:51 status unpacked libpam-modules-bin:armhf 1.1.8-3ubuntu4
2015-02-18 12:51:51 status unpacked libpam-modules-bin:armhf 1.1.8-3ubuntu4
2015-02-18 12:51:53 install libpam-runtime:all <none> 1.1.8-3ubuntu4
2015-02-18 12:51:53 status half-installed libpam-runtime:all 1.1.8-3ubuntu4
2015-02-18 12:51:54 status unpacked libpam-runtime:all 1.1.8-3ubuntu4
2015-02-18 12:51:54 status unpacked libpam-runtime:all 1.1.8-3ubuntu4
2015-02-18 12:51:55 install libpam0g:armhf <none> 1.1.8-3ubuntu4
2015-02-18 12:51:55 status half-installed libpam0g:armhf 1.1.8-3ubuntu4
2015-02-18 12:51:56 status unpacked libpam0g:armhf 1.1.8-3ubuntu4
2015-02-18 12:51:57 status unpacked libpam0g:armhf 1.1.8-3ubuntu4
2015-02-18 12:51:58 install libpcre3:armhf <none> 1:8.35-3ubuntu1
2015-02-18 12:51:58 status half-installed libpcre3:armhf 1:8.35-3ubuntu1
2015-02-18 12:52:00 status unpacked libpcre3:armhf 1:8.35-3ubuntu1
2015-02-18 12:52:00 status unpacked libpcre3:armhf 1:8.35-3ubuntu1
2015-02-18 12:52:02 install libplymouth4:armhf <none> 0.9.0-0ubuntu7
2015-02-18 12:52:02 status half-installed libplymouth4:armhf 0.9.0-0ubuntu7
2015-02-18 12:52:03 status unpacked libplymouth4:armhf 0.9.0-0ubuntu7
2015-02-18 12:52:03 status unpacked libplymouth4:armhf 0.9.0-0ubuntu7
2015-02-18 12:52:04 install libpng12-0:armhf <none> 1.2.51-0ubuntu3
2015-02-18 12:52:04 status half-installed libpng12-0:armhf 1.2.51-0ubuntu3
